Ж/м Клочко 	> Ж/м Калиновський
вулиця Колгоспна 	> вулиця Фермерська
Провулок Колгоспний 	> провулок Лоцманів Казанців
вулиця Коллонтай 	> вулиця Ганни Барвінок
вулиця Комбідівська 	> вулиця Василя Хитя
вулиця Комінтерну 	> вулиця Яхненківська
вулиця Комісара Крилова 	> вулиця Олександра Оцупа
вулиця Комісарівська 	> вулиця Гайдамацька
Провулок Комісарівський 	> провулок Гайдамацький
вулиця Комітетська 	> вулиця Василя Капніста
вулиця Комсомольська 	> вулиця Айдарівська
вулиця Комсомольська 	> вулиця Старокозацька
Острів Комсомольський 	> острів Монастирський
Провулок Комсомольський 	> вулиця Дібровська
Ж/м Комунар 	> Ж/м Покровський
Ст.метро Комунарівська 	> Ст.метро Покровська
вулиця Комунарівська 	> вулиця Юрія Кондратюка
вулиця Копилова 	> вулиця Бориса Познанського
Провулок Копилова 	> провулок Бориса Познанського
вулиця Корнійчука 	> вулиця Бориса Мозолевського
вулиця Косарева 	> вулиця Сіверянська
вулиця Косіора 	> вулиця Петра Калнишевського
вулиця Котовського 	> вулиця Тернівська
вулиця Котовського 	> вулиця Івана Труби
вулиця Кочкіна 	> вулиця Євгена Вирового
Провулок Красіна 	> провулок Косинський
вулиця Красіна 	> вулиця Криштофа Косинського
Район Красногвардійській 	> Район Чечелівський
вулиця Краснозаводська 	> вулиця Академіка Белелюбського
вулиця Краснопресненська 	> вулиця Самійла Величка
Тупик Краснопреснен-ський 	> тупик Самійлівський
вулиця Красночечелівська 	> вулиця Олександра Чернікова
вулиця Крейсера "Аврора" 	> вулиця Олександра Галича
вулиця Крошки 	> вулиця Михайла Комарова
вулиця Крупської 	> вулиця Баллінська
вулиця Кузнецова 	> вулиця Тетяни Пати
вулиця Кузнецова 	> вулиця Опанаса Ковпака
вулиця Куйбишева 	> вулиця Володимира Винниченка
вулиця Курочкіна 	> вулиця Cемена Бардадима
Провулок Лалаянца 	> провулок Скляренка
вулиця Лалаянца 	> вулиця Семена Скляренка
вулиця Лафарга 	> вулиця Генерала Радієвського
вулиця Лебедя 	> вулиця Федора Сторубля
вулиця Леніна 	> вулиця Генерала Волівача
вулиця Леніна 	> вулиця Степани Бандери
вулиця Ленінградська 	> вулиця Князя Ярослава Мудрого
вулиця Леніногорська 	> вулиця Миколи Хвильового
Район Ленінський 	> Район Новокодацький
вулиця Леоніда Брежнєва 	> вулиця Братства тарасівців
вулиця Лепсе 	> вулиця Миколи Кузьменка
вулиця Логаша 	> вулиця Івана Пулюя
Провулок Логаша 	> провулок Івана Пулюя
вулиця Лукашенка 	> вулиця Андрія Штогаренка
вулиця Луначарського 	> вулиця Василя Стуса
Провулок Людмили Мокієвської 	> провулок Крушельницької
Провулок Людмили Сталь 	> вулиця Шодуарівська
Сквер М. О. Щолокова 	> Сквер Юрія Переможця
вулиця Малишева 	> вулиця Василя Тютюнника
Провулок Малишева 	> провулок Тютюнника
Тупик Малишева 	> тупик Тютюнника
вулиця Манкевича 	> вулиця Галі Мазуренко
вулиця Мануїльського 	> вулиця Михайла Максимовича
вулиця Маршала Жукова 	> вулиця Героїв Дніпра
Провулок Маршала Жукова 	> провулок Героїчний
вулиця Матлахова 	> вулиця Кості Гордієнка
вулиця Менжинського 	> вулиця Миколи Сумцова
вулиця Меренкова 	> вулиця Павла Полуботка
Площа Миколи Островського 	> площа Старомостова
вулиця Мироненка 	> вулиця Олени Ган
вулиця Миронова 	> вулиця Європейська
вулиця Митрофана Андреєва 	> вулиця Петра Сокальського
вулиця Мініна 	> вулиця Менахем Мендл Шнеєрсона
Парк Міський молодіжний парк дозвілля та відпочинку ім.В.І.Леніна 	> парк Міський молодіжний дозвілля і відпочинку «Новокодацький»
вулиця Модестова 	> вулиця Миколи Садовського
вулиця МОПРа 	> вулиця Григорія Омельченка
вулиця Моріса Тореза 	> вулиця Березанівська
вулиця Московська 	> Володимира Мономаха
вулиця Набережна В.І.Леніна 	> вулиця Січеславська Набережна
вулиця Набережна Чудновського 	> вулиця Набережна Старосамарська
вулиця Новодзержинська 	> вулиця Козирева
вулиця Новофрунзенська 	> вулиця Юркевича
вулиця Ногинська 	> вулиця Володимира Івасюка
Провулок Ногинський 	> провулок Яворовий
вулиця Орджонікідзе 	> вулиця Петра Бикова
вулиця Островського 	> вулиця Миколи Зерова
Провулок Островського 	> провулок Миколи Зерова
вулиця Павла Корчагіна 	> вулиця Миколи Куліша
вулиця Пархоменка 	> вулиця Григорія Граб’янки
вулиця Пелагеї Поляхової 	> вулиця Лебединська
вулиця Пеліна 	> вулиця Катерини Мессарош
вулиця Перекопської перемоги 	> вулиця Олександри Риндовської
вулиця Петра Моїсеєнка 	> вулиця Василя Курбаса
вулиця Петра Сиротиніна 	> вулиця Лавандова
вулиця Петровського 	> вулиця Андрія Сахарова
Проспект Петровського 	> Проспект Івана Мазепи
Площа Петровського 	> площа Вокзальна
вулиця Піонерська 	> вулиця Омеляновича-Павленка
вулиця Піонерська 	> вулиця Олени Пчілки
вулиця Піонерська 	> вулиця Бортницька
Провулок Піонерський 	> провулок Михайла Дідевича
Провулок Піонерський 	> провулок Марти Головіної
Провулок Піонерський 	> провулок Скаутський
вулиця Плеханова 	> вулиця Князя Володимира Великого
вулиця Повстання 	> вулиця Мужності
вулиця Погребняка 	> вулиця Полігонна
вулиця Подвойського 	> вулиця Осипа Бодянського
вулиця Покровського 	> вулиця Покровська
вулиця Постишева 	> вулиця Олександра Серебрякова
Провулок Пролетарської перемоги 	> провулок Каразінський
вулиця Пролетарської перемоги 	> вулиця Василя Каразіна
вулиця Профінтерну 	> вулиця Володимира Хрінникова
вулиця П'ятирічки 	> вулиця Шляхівська
вулиця Радгоспна 	> вулиця Василя Сухомлинського
вулиця Радгоспна 	> вулиця Нестора Махна
вулиця Радянська 	> вулиця Славна
Провулок Радянський 	> провулок Феодосія Макаревського
вулиця Радянської Армії 	> вулиця Волонтерська
вулиця Революційна 	> вулиця Полковника Горленка
вулиця Рогальова 	> узвіз Крутогірний
вулиця Рози Люксембург 	> вулиця Марії Заньковецької
вулиця Руднєва 	> вулиця Івана Вишенського
вулиця Сафонова 	> вулиця Новгород-Сіверська
вулиця Свердлова 	> вулиця Володимира Антоновича
Провулок Свердлова 	> вулиця Казкова
вулиця Сергія Лазо 	> вулиця Кулишівська
вулиця Сериківська 	> вулиця Тиверська
Провулок Сериківський 	> провулок Тиверський
вулиця Сєрова 	> вулиця Андрія Фабра
Провулок Сиворонова 	> провулок Веселковий
вулиця Сировця 	> вулиця Якова Острянина
вулиця Сільрадська 	> вулиця Лірницька
вулиця Соціалістична 	> вулиця Павла Чубинського
вулиця Союзна 	> вулиця Старобазарна
вулиця Стаханівців 	> вулиця Івана Сокульського
вулиця Суханова 	> вулиця Станіслава Оріховського
вулиця Таманська 	> вулиця Василя Симоненка
вулиця Тевосяна 	> вулиця Роксолани
вулиця Тельмана 	> вулиця Ріжкова
вулиця Тельмана 	> вулиця Ігоря Сікорського
Провулок Тельмана 	> провулок Івана Сохача
вулиця Тихона Бондарева 	> вулиця Карпатська
вулиця Ткаченка 	> вулиця Вадима Сідура
Узвіз Тольятті 	> узвіз Кодацький
вулиця Ульяновська 	> вулиця Михайла Лояна
Провулок Урицького 	> провулок Євгена Коновальця
Узвіз Урицького 	> узвіз Струківський
Провулок Фабріціуса 	> провулок Івана Купали
вулиця Фабріціуса 	> вулиця Ярославни
Провулок Фрунзе 	> вулиця Заборинська
